    1,     1,     2,   336
    2,   336,   335,     1
    3,     2,     3,   337
    4,   337,   336,     2
    5,     3,     4,   338
    6,   338,   337,     3
    7,     4,     5,   339
    8,   339,   338,     4
    9,     5,     6,   340
   10,   340,   339,     5
   11,     6,     7,   341
   12,   341,   340,     6
   13,     7,     8,   342
   14,   342,   341,     7
   15,     8,     9,   343
   16,   343,   342,     8
   17,     9,    10,   344
   18,   344,   343,     9
   19,    10,    11,   345
   20,   345,   344,    10
   21,    11,    12,   346
   22,   346,   345,    11
   23,    12,    13,   347
   24,   347,   346,    12
   25,    13,    14,   348
   26,   348,   347,    13
   27,    14,    15,   349
   28,   349,   348,    14
   29,    15,    16,   350
   30,   350,   349,    15
   31,    16,    17,   351
   32,   351,   350,    16
   33,    17,    18,   352
   34,   352,   351,    17
   35,    18,    19,   353
   36,   353,   352,    18
   37,    19,    20,   354
   38,   354,   353,    19
   39,    20,    21,   355
   40,   355,   354,    20
   41,    21,    22,   356
   42,   356,   355,    21
   43,    22,    23,   357
   44,   357,   356,    22
   45,    23,    24,   358
   46,   358,   357,    23
   47,    24,    25,   359
   48,   359,   358,    24
   49,    25,    26,   360
   50,   360,   359,    25
   51,    26,    27,   361
   52,   361,   360,    26
   53,    27,    28,   362
   54,   362,   361,    27
   55,    28,    29,   363
   56,   363,   362,    28
   57,    29,    30,   364
   58,   364,   363,    29
   59,    30,    31,   365
   60,   365,   364,    30
   61,    31,    32,   366
   62,   366,   365,    31
   63,    32,    33,   367
   64,   367,   366,    32
   65,    33,    34,   368
   66,   368,   367,    33
   67,    34,    35,   369
   68,   369,   368,    34
   69,    35,    36,   370
   70,   370,   369,    35
   71,    36,    37,   371
   72,   371,   370,    36
   73,    37,    38,   372
   74,   372,   371,    37
   75,    38,    39,   373
   76,   373,   372,    38
   77,    39,    40,   374
   78,   374,   373,    39
   79,    40,    41,   375
   80,   375,   374,    40
   81,    41,    42,   376
   82,   376,   375,    41
   83,    42,    43,   377
   84,   377,   376,    42
   85,    43,    44,   378
   86,   378,   377,    43
   87,    44,    45,   379
   88,   379,   378,    44
   89,    45,    46,   380
   90,   380,   379,    45
   91,    46,    47,   381
   92,   381,   380,    46
   93,    47,    48,   382
   94,   382,   381,    47
   95,    48,    49,   383
   96,   383,   382,    48
   97,    49,    50,   384
   98,   384,   383,    49
   99,    50,    51,   385
  100,   385,   384,    50
  101,    51,    52,   386
  102,   386,   385,    51
  103,    52,    53,   387
  104,   387,   386,    52
  105,    53,    54,   388
  106,   388,   387,    53
  107,    54,    55,   389
  108,   389,   388,    54
  109,    55,    56,   390
  110,   390,   389,    55
  111,    56,    57,   391
  112,   391,   390,    56
  113,    57,    58,   392
  114,   392,   391,    57
  115,    58,    59,   393
  116,   393,   392,    58
  117,    59,    60,   394
  118,   394,   393,    59
  119,    60,    61,   395
  120,   395,   394,    60
  121,    61,    62,   396
  122,   396,   395,    61
  123,    62,    63,   397
  124,   397,   396,    62
  125,    63,    64,   398
  126,   398,   397,    63
  127,    64,    65,   399
  128,   399,   398,    64
  129,    65,    66,   400
